drift_type,seed,method,phase,success_rate,mean_return
transition_noise,9,time_count,pre,0.0,0.0
transition_noise,9,time_count,post,0.15,0.15
transition_noise,9,fixed_random,pre,0.0,0.0
transition_noise,9,fixed_random,post,0.95,0.95
wall_change,0,fixed_count,pre,0.0,0.0
wall_change,0,fixed_count,post,0.0,0.0
wall_change,0,time_count,pre,0.0,0.0
wall_change,0,time_count,post,0.0,0.0
wall_change,0,fixed_random,pre,0.0,0.0
wall_change,0,fixed_random,post,0.0,0.0
wall_change,1,fixed_count,pre,0.0,0.0
wall_change,1,fixed_count,post,0.0,0.0
wall_change,1,time_count,pre,0.0,0.0
wall_change,1,time_count,post,0.0,0.0
wall_change,1,fixed_random,pre,0.0,0.0
wall_change,1,fixed_random,post,0.0,0.0
wall_change,2,fixed_count,pre,0.0,0.0
wall_change,2,fixed_count,post,0.0,0.0
wall_change,2,time_count,pre,0.0,0.0
wall_change,2,time_count,post,0.0,0.0
wall_change,2,fixed_random,pre,0.0,0.0
wall_change,2,fixed_random,post,0.0,0.0
wall_change,3,fixed_count,pre,0.0,0.0
wall_change,3,fixed_count,post,0.0,0.0
wall_change,3,time_count,pre,0.0,0.0
wall_change,3,time_count,post,0.0,0.0
wall_change,3,fixed_random,pre,0.0,0.0
wall_change,3,fixed_random,post,0.0,0.0
wall_change,4,fixed_count,pre,0.0,0.0
wall_change,4,fixed_count,post,0.0,0.0
wall_change,4,time_count,pre,0.0,0.0
wall_change,4,time_count,post,0.0,0.0
wall_change,4,fixed_random,pre,0.0,0.0
wall_change,4,fixed_random,post,0.0,0.0
wall_change,5,fixed_count,pre,0.0,0.0
wall_change,5,fixed_count,post,0.0,0.0
wall_change,5,time_count,pre,0.0,0.0
wall_change,5,time_count,post,0.0,0.0
wall_change,5,fixed_random,pre,0.0,0.0
wall_change,5,fixed_random,post,0.0,0.0
wall_change,6,fixed_count,pre,0.0,0.0
wall_change,6,fixed_count,post,0.0,0.0
wall_change,6,time_count,pre,0.0,0.0
wall_change,6,time_count,post,0.0,0.0
wall_change,6,fixed_random,pre,0.0,0.0
wall_change,6,fixed_random,post,0.0,0.0
wall_change,7,fixed_count,pre,0.0,0.0
wall_change,7,fixed_count,post,0.0,0.0
wall_change,7,time_count,pre,0.0,0.0
wall_change,7,time_count,post,0.0,0.0
wall_change,7,fixed_random,pre,0.0,0.0
wall_change,7,fixed_random,post,0.0,0.0
wall_change,8,fixed_count,pre,0.0,0.0
wall_change,8,fixed_count,post,0.0,0.0
wall_change,8,time_count,pre,0.0,0.0
wall_change,8,time_count,post,0.0,0.0
wall_change,8,fixed_random,pre,0.0,0.0
wall_change,8,fixed_random,post,0.0,0.0
wall_change,9,fixed_count,pre,0.0,0.0
wall_change,9,fixed_count,post,0.0,0.0
wall_change,9,time_count,pre,0.0,0.0
wall_change,9,time_count,post,0.0,0.0
wall_change,9,fixed_random,pre,0.0,0.0
wall_change,9,fixed_random,post,0.0,0.0
